zipcode,size_rank,state,2016-2017_mean_zillow_score,2016-2017_%change_zillow_score,< 5_years,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,median_household_income,mean_household_income
81211,8323,CO,326930.76923076925,0.09929906542056074,0.04082474226804124,0.044123711340206186,0.051821305841924396,0.03945017182130584,0.044673539518900345,0.14529209621993128,0.1186254295532646,0.1359450171821306,0.09003436426116838,0.07024054982817869,0.14845360824742268,0.05594501718213058,0.014570446735395188,51374,59623
81224,8809,CO,405692.3076923077,0.08601895734597156,0.08178730075777371,0.07211915338385158,0.056179775280898875,0.061928403449176904,0.027697935719885027,0.20015678076822577,0.2106088319832767,0.08962633916906193,0.08910373660830938,0.0389338907760648,0.059054089365037886,0.012542461458061144,0.0002613012803762738,70924,79996
81226,9151,CO,138753.84615384616,0.11302549965541006,0.031106745252128355,0.0366732154551408,0.05992141453831041,0.048570181183147786,0.05097140362366295,0.20574110456232264,0.17692643527614058,0.15040384195590484,0.060576293385723644,0.04955249945426763,0.07978607290984502,0.03525431128574547,0.0145164811176599,39888,49783
81230,7196,CO,250961.53846153847,0.11698537682789652,0.04765085727009575,0.05410821643286573,0.042529503451347137,0.0614562458249833,0.17646403918949008,0.13927855711422846,0.11489645958583834,0.1147851258071699,0.07325762636383878,0.06813627254509018,0.0642395902916945,0.026163437987085283,0.017034068136272545,43475,51952
81236,12455,CO,390723.07692307694,0.052802802802802806,0.0,0.044919786096256686,0.045989304812834225,0.0,0.053475935828877004,0.0,0.059893048128342244,0.14866310160427806,0.05561497326203209,0.17326203208556148,0.32834224598930484,0.07807486631016043,0.011764705882352941,63787,62376
81240,10269,CO,195292.3076923077,0.09005905511811024,0.03684638309401246,0.04985098889189921,0.06827418043890544,0.06719046328908156,0.027363858033053374,0.08669737198591168,0.10024383635871037,0.1406123001896505,0.08154971552424817,0.12029260363045245,0.16689244107287998,0.04659983744242752,0.007586020048767272,44554,55173
81301,2611,CO,408746.1538461539,0.03830402312695736,0.05193748516798318,0.047496355561582534,0.05034410279011425,0.07756721022476862,0.08424585551072991,0.16188086924093975,0.13106417601790013,0.11879174153303726,0.07814354002101909,0.06566769501983252,0.08180492931484558,0.03756314201444215,0.01349289758280503,58940,76918
81303,8789,CO,343830.76923076925,0.049347702779353374,0.04777227722772277,0.07079207920792079,0.054455445544554455,0.06311881188118812,0.056064356435643566,0.12116336633663366,0.13316831683168318,0.14727722772277227,0.07487623762376237,0.0832920792079208,0.1021039603960396,0.028712871287128714,0.017202970297029704,64725,80304
81321,6115,CO,163630.76923076922,-0.031055900621118012,0.04592051678135094,0.06593175115854515,0.06789776716753265,0.08151944951551748,0.03868838646257548,0.10293498104198849,0.12533352057295324,0.13439123718578852,0.08517062210363713,0.06403595000702149,0.10054767588821795,0.06670411459064739,0.020924027524224127,42835,52965
81323,9709,CO,243815.38461538462,-0.02459016393442623,0.07976809276289484,0.04758096761295482,0.06577369052379048,0.04318272690923631,0.055777688924430226,0.12175129948020792,0.12275089964014395,0.11595361855257896,0.08876449420231908,0.09196321471411435,0.10755697720911635,0.04118352658936426,0.01799280287884846,51048,61620
81326,12171,CO,328023.07692307694,-0.0024532352039251764,0.023629489603024575,0.07325141776937619,0.0888468809073724,0.07372400756143667,0.030245746691871456,0.06332703213610585,0.12003780718336483,0.16351606805293006,0.12334593572778828,0.09877126654064272,0.10066162570888469,0.031190926275992438,0.00945179584120983,52857,62456
81328,10151,CO,238676.92307692306,0.0976781425140112,0.07307262569832403,0.05899441340782123,0.06614525139664805,0.03284916201117318,0.054078212290502796,0.10927374301675978,0.08871508379888268,0.1188826815642458,0.08111731843575419,0.1030167597765363,0.1430167597765363,0.0446927374301676,0.026145251396648046,45222,56687
81401,4250,CO,195230.76923076922,0.06923837784371908,0.052406465264958804,0.0649227860069335,0.06235649002746387,0.05542298860924767,0.04560803205618837,0.11804961505560307,0.11692404664355499,0.13614875512133628,0.0726216739453424,0.06618342262842736,0.11449281887353113,0.07032551438476431,0.024537391382648238,41801,52754
81403,7612,CO,319530.76923076925,0.0521182566290765,0.05096886766461567,0.06456056570851318,0.06428505831573147,0.07723390577647167,0.05216273303333639,0.06419322251813757,0.11167232987418496,0.12967214620258977,0.07484617503903021,0.09082560382036918,0.13665166681972632,0.06667278905317292,0.016254936174120674,52446,65273
81410,12633,CO,184200.0,0.08191653786707882,0.0446927374301676,0.028553693358162633,0.1558038485412787,0.05524518932340161,0.0,0.058969584109248914,0.10924891371818746,0.13283674736188703,0.06890130353817504,0.07945375543140906,0.1042830540037244,0.11980136561142148,0.04220980757293606,40441,69533
81413,9281,CO,182484.61538461538,0.048793565683646116,0.03413039035356632,0.04782342121397915,0.05742898017576129,0.04557531166973227,0.034334763948497854,0.0944206008583691,0.06417330880850194,0.12773349683220928,0.07480073574494175,0.10341303903535663,0.1882280809319436,0.08767627222562845,0.040261598201512365,41755,58312
